run,seed,nodes,committee,transport,fanout,slots,status,started_utc,finished_utc,elapsed_s,exit_code
1500-everyone-push-f22-s2,2,1500,everyone,push,22,400,passed,2026-09-11T01:33:56+00:00,2026-09-11T01:59:23+00:00,1527.503,0
1500-everyone-push-late-dedupe-f22-s2,2,1500,everyone,push-late-dedupe,22,400,passed,2026-09-11T01:59:24+00:00,2026-09-11T02:27:56+00:00,1712.047,0
750-top-stake-seats-push-f16-s0,0,750,top-stake-seats,push,16,400,passed,2026-09-11T02:27:56+00:00,2026-09-11T02:35:49+00:00,472.851,0
750-top-stake-seats-push-late-dedupe-f16-s0,0,750,top-stake-seats,push-late-dedupe,16,400,passed,2026-09-11T02:35:49+00:00,2026-09-11T02:43:45+00:00,476.693,0
1500-top-stake-seats-push-f16-s0,0,1500,top-stake-seats,push,16,400,passed,2026-09-11T02:43:45+00:00,2026-09-11T03:01:05+00:00,1039.207,0
1500-top-stake-seats-push-late-dedupe-f16-s0,0,1500,top-stake-seats,push-late-dedupe,16,400,passed,2026-09-11T03:01:05+00:00,2026-09-11T03:19:10+00:00,1084.984,0
750-everyone-push-f16-s0,0,750,everyone,push,16,400,passed,2026-09-11T03:19:10+00:00,2026-09-11T03:28:24+00:00,553.997,0
750-everyone-push-late-dedupe-f16-s0,0,750,everyone,push-late-dedupe,16,400,passed,2026-09-11T03:28:24+00:00,2026-09-11T03:38:11+00:00,586.821,0
1500-everyone-push-f16-s0,0,1500,everyone,push,16,400,passed,2026-09-11T03:38:11+00:00,2026-09-11T04:02:30+00:00,1459.566,0
1500-everyone-push-late-dedupe-f16-s0,0,1500,everyone,push-late-dedupe,16,400,passed,2026-09-11T04:02:30+00:00,2026-09-11T04:30:35+00:00,1684.429,0
750-top-stake-seats-push-f16-s1,1,750,top-stake-seats,push,16,400,passed,2026-09-11T04:30:35+00:00,2026-09-11T04:39:00+00:00,504.660,0
750-top-stake-seats-push-late-dedupe-f16-s1,1,750,top-stake-seats,push-late-dedupe,16,400,passed,2026-09-11T04:39:00+00:00,2026-09-11T04:47:31+00:00,511.601,0
1500-top-stake-seats-push-f16-s1,1,1500,top-stake-seats,push,16,400,passed,2026-09-11T04:47:31+00:00,2026-09-11T05:06:19+00:00,1127.514,0
1500-top-stake-seats-push-late-dedupe-f16-s1,1,1500,top-stake-seats,push-late-dedupe,16,400,passed,2026-09-11T05:06:19+00:00,2026-09-11T05:25:54+00:00,1175.256,0
750-everyone-push-f16-s1,1,750,everyone,push,16,400,passed,2026-09-11T05:25:54+00:00,2026-09-11T05:35:55+00:00,600.469,0
750-everyone-push-late-dedupe-f16-s1,1,750,everyone,push-late-dedupe,16,400,passed,2026-09-11T05:35:55+00:00,2026-09-11T05:46:36+00:00,640.823,0
1500-everyone-push-f16-s1,1,1500,everyone,push,16,400,passed,2026-09-11T05:46:36+00:00,2026-09-11T06:14:02+00:00,1645.751,0
1500-everyone-push-late-dedupe-f16-s1,1,1500,everyone,push-late-dedupe,16,400,passed,2026-09-11T06:14:02+00:00,2026-09-11T06:41:12+00:00,1630.364,0
750-top-stake-seats-push-f16-s2,2,750,top-stake-seats,push,16,400,passed,2026-09-11T06:41:12+00:00,2026-09-11T06:50:29+00:00,556.998,0
750-top-stake-seats-push-late-dedupe-f16-s2,2,750,top-stake-seats,push-late-dedupe,16,400,passed,2026-09-11T06:50:30+00:00,2026-09-11T06:59:50+00:00,560.417,0
1500-top-stake-seats-push-f16-s2,2,1500,top-stake-seats,push,16,400,passed,2026-09-11T06:59:50+00:00,2026-09-11T07:17:25+00:00,1054.596,0
1500-top-stake-seats-push-late-dedupe-f16-s2,2,1500,top-stake-seats,push-late-dedupe,16,400,passed,2026-09-11T07:17:25+00:00,2026-09-11T07:34:32+00:00,1027.217,0
750-everyone-push-f16-s2,2,750,everyone,push,16,400,passed,2026-09-11T07:34:32+00:00,2026-09-11T07:44:28+00:00,596.047,0
750-everyone-push-late-dedupe-f16-s2,2,750,everyone,push-late-dedupe,16,400,passed,2026-09-11T07:44:28+00:00,2026-09-11T07:55:40+00:00,671.527,0
1500-everyone-push-f16-s2,2,1500,everyone,push,16,400,passed,2026-09-11T07:55:40+00:00,2026-09-11T08:34:23+00:00,2322.882,0
1500-everyone-push-late-dedupe-f16-s2,2,1500,everyone,push-late-dedupe,16,400,passed,2026-09-11T08:34:23+00:00,2026-09-11T09:16:17+00:00,2514.364,0
750-top-stake-seats-push-f8-s0,0,750,top-stake-seats,push,8,400,passed,2026-09-11T09:16:17+00:00,2026-09-11T09:25:53+00:00,575.438,0
750-top-stake-seats-push-late-dedupe-f8-s0,0,750,top-stake-seats,push-late-dedupe,8,400,passed,2026-09-11T09:25:53+00:00,2026-09-11T09:34:16+00:00,503.411,0
1500-top-stake-seats-push-f8-s0,0,1500,top-stake-seats,push,8,400,passed,2026-09-11T09:34:17+00:00,2026-09-11T09:51:42+00:00,1045.217,0
1500-top-stake-seats-push-late-dedupe-f8-s0,0,1500,top-stake-seats,push-late-dedupe,8,400,passed,2026-09-11T09:51:42+00:00,2026-09-11T10:08:35+00:00,1013.065,0
750-everyone-push-f8-s0,0,750,everyone,push,8,400,passed,2026-09-11T10:08:35+00:00,2026-09-11T10:17:15+00:00,520.045,0
750-everyone-push-late-dedupe-f8-s0,0,750,everyone,push-late-dedupe,8,400,passed,2026-09-11T10:17:15+00:00,2026-09-11T10:26:21+00:00,545.447,0
1500-everyone-push-f8-s0,0,1500,everyone,push,8,400,passed,2026-09-11T10:26:21+00:00,2026-09-11T10:47:51+00:00,1290.459,0
1500-everyone-push-late-dedupe-f8-s0,0,1500,everyone,push-late-dedupe,8,400,passed,2026-09-11T10:47:51+00:00,2026-09-11T11:11:24+00:00,1413.047,0
750-top-stake-seats-push-f8-s1,1,750,top-stake-seats,push,8,400,passed,2026-09-11T11:11:25+00:00,2026-09-11T11:20:12+00:00,527.574,0
750-top-stake-seats-push-late-dedupe-f8-s1,1,750,top-stake-seats,push-late-dedupe,8,400,passed,2026-09-11T11:20:12+00:00,2026-09-11T11:29:04+00:00,531.307,0
