id,name,role,stake,sent_bodies_messages,sent_bodies_bytes,sent_announcements_messages,sent_announcements_bytes,sent_requests_messages,sent_requests_bytes,sent_bytes,sent_mean_mbit_s,sent_peak_1s_mbit_s,sent_peak_window_start_s,received_bodies_messages,received_bodies_bytes,received_announcements_messages,received_announcements_bytes,received_requests_messages,received_requests_bytes,received_bytes,received_mean_mbit_s,received_peak_1s_mbit_s,received_peak_window_start_s
1267,node-79,relay,0,221745,20844030,0,0,0,0,20844030,0.4168806,8.2532,67,317080,29805520,0,0,0,0,29805520,0.5961104,11.79888,67
1268,node-790,relay,0,308866,29033404,0,0,0,0,29033404,0.58066808,11.501088,67,389382,36601908,0,0,0,0,36601908,0.73203816,14.50232,67
1269,node-791,relay,0,940194,88378236,0,0,0,0,88378236,1.76756472,35.002592,67,243900,22926600,0,0,0,0,22926600,0.458532,9.072128,67
1270,node-792,relay,0,922632,86727408,0,0,0,0,86727408,1.73454816,34.35136,67,315859,29690746,0,0,0,0,29690746,0.59381492,11.767296,67
1271,node-793,relay,0,969425,91125950,0,0,0,0,91125950,1.822519,36.097504,67,313061,29427734,0,0,0,0,29427734,0.58855468,11.645472,67
1272,node-794,relay,0,960497,90286718,0,0,0,0,90286718,1.8057343599999998,35.762112,67,349790,32880260,0,0,0,0,32880260,0.6576052,13.017872,67
1273,node-795,relay,0,924986,86948684,0,0,0,0,86948684,1.73897368,34.440096,67,355643,33430442,0,0,0,0,33430442,0.66860884,13.232192,67
1274,node-796,relay,0,923612,86819528,0,0,0,0,86819528,1.73639056,34.385952,67,316681,29768014,0,0,0,0,29768014,0.59536028,11.809408,67
1275,node-797,relay,0,975986,91742684,0,0,0,0,91742684,1.83485368,36.338144,67,324392,30492848,0,0,0,0,30492848,0.60985696,12.08464,67
1276,node-798,relay,0,932948,87697112,0,0,0,0,87697112,1.75394224,34.737888,67,304035,28579290,0,0,0,0,28579290,0.5715858,11.309328,67
1277,node-799,relay,0,325947,30639018,0,0,0,0,30639018,0.61278036,12.13352,67,277484,26083496,0,0,0,0,26083496,0.52166992,10.348272,67
1278,node-8,relay,0,1076931,101231514,0,0,0,0,101231514,2.0246302800000002,40.095136,67,357854,33638276,0,0,0,0,33638276,0.67276552,13.335216,67
1279,node-80,relay,0,258862,24333028,0,0,0,0,24333028,0.48666055999999996,9.638384,67,321180,30190920,0,0,0,0,30190920,0.6038184,11.959056,67
1280,node-800,relay,0,239917,22552198,0,0,0,0,22552198,0.45104396,8.928496,67,308522,29001068,0,0,0,0,29001068,0.58002136,11.477024,67
1281,node-801,relay,0,248757,23383158,0,0,0,0,23383158,0.46766316,9.265392,67,361211,33953834,0,0,0,0,33953834,0.67907668,13.454032,67
1282,node-802,relay,0,266189,25021766,0,0,0,0,25021766,0.50043532,9.914368,67,342640,32208160,0,0,0,0,32208160,0.6441631999999999,12.759184,67
1283,node-803,relay,0,266782,25077508,0,0,0,0,25077508,0.5015501600000001,9.932416,67,297769,27990286,0,0,0,0,27990286,0.5598057200000001,11.085984,67
1284,node-804,relay,0,231721,21781774,0,0,0,0,21781774,0.43563547999999996,8.626192,67,272456,25610864,0,0,0,0,25610864,0.51221728,10.13696,67
1285,node-805,relay,0,276276,25969944,0,0,0,0,25969944,0.51939888,10.28736,67,353034,33185196,0,0,0,0,33185196,0.66370392,13.150224,67
1286,node-806,relay,0,258391,24288754,0,0,0,0,24288754,0.48577508,9.621088,67,316299,29732106,0,0,0,0,29732106,0.59464212,11.784592,67
1287,node-807,relay,0,276029,25946726,0,0,0,0,25946726,0.5189345200000001,10.278336,67,316830,29782020,0,0,0,0,29782020,0.5956404,11.82144,67
1288,node-808,relay,0,283949,26691206,0,0,0,0,26691206,0.53382412,10.572368,67,316572,29757768,0,0,0,0,29757768,0.59515536,11.7876,67
1289,node-809,relay,0,285118,26801092,0,0,0,0,26801092,0.53602184,10.616736,67,326464,30687616,0,0,0,0,30687616,0.61375232,12.158336,67
1290,node-81,relay,0,223127,20973938,0,0,0,0,20973938,0.41947876,8.308096,67,312300,29356200,0,0,0,0,29356200,0.587124,11.628176,67
1291,node-810,relay,0,258259,24276346,0,0,0,0,24276346,0.48552692000000003,9.61432,67,369877,34768438,0,0,0,0,34768438,0.69536876,13.770624,67
1292,node-811,relay,0,258109,24262246,0,0,0,0,24262246,0.48524492,9.607552,67,324417,30495198,0,0,0,0,30495198,0.60990396,12.090656,67
1293,node-812,relay,0,311346,29266524,0,0,0,0,29266524,0.58533048,11.591328,67,289861,27246934,0,0,0,0,27246934,0.54493868,10.791952,67
1294,node-813,relay,0,249253,23429782,0,0,0,0,23429782,0.46859564,9.280432,67,245795,23104730,0,0,0,0,23104730,0.4620946,9.15184,67
1295,node-814,relay,0,258617,24309998,0,0,0,0,24309998,0.48619996,9.62936,67,317643,29858442,0,0,0,0,29858442,0.59716884,11.822192,67
1296,node-815,relay,0,258123,24263562,0,0,0,0,24263562,0.48527124,9.606048,67,362637,34087878,0,0,0,0,34087878,0.6817575600000001,13.507424,67
